Index,Node,Accuracy
00,2149, 66.80 %
01,202, 97.62 %
02,2297, 51.41 %
03,175, 97.09 %
04,1977, 50.53 %
05,168, 97.12 %
06,1665, 49.86 %
07,138, 96.95 %
08,1520, 50.80 %
09,162, 97.64 %
10,906, 87.58 %
11,739, 86.14 %
12,709, 84.03 %
13,669, 81.95 %
14,520, 85.52 %
15,619, 91.41 %
16,529, 90.42 %
17,458, 90.20 %
18,431, 89.22 %
19,401, 88.64 %
20,2447, 54.06 %
21,689, 95.45 %
22,3006, 49.45 %
23,1301, 81.16 %
24,2341, 49.14 %
25,2120, 56.53 %
26,1995, 50.41 %
27,1851, 53.92 %
28,1739, 50.16 %
29,1736, 51.59 %
30,193, 98.50 %
31,194, 97.75 %
32,189, 97.67 %
33,180, 97.78 %
34,180, 97.47 %
35,173, 97.73 %
36,170, 97.59 %
37,182, 97.08 %
38,172, 97.61 %
39,169, 97.34 %
40,674, 71.92 %
41,221,100.00 %
42,2597, 51.02 %
43,1423, 75.38 %
44,2345, 50.81 %
45,2803, 50.77 %
46,1959, 49.98 %
47,2373, 50.09 %
48,1662, 49.88 %
49,1970, 49.56 %
50,465, 95.42 %
51,1841, 70.50 %
52,1725, 68.55 %
53,1035, 81.09 %
54,219, 93.94 %
55,217, 97.17 %
56,185, 96.02 %
57,137, 98.16 %
58,261, 95.62 %
59,266, 94.19 %
60,494, 93.73 %
61,58, 99.62 %
62,409, 94.56 %
63,116, 99.00 %
64,11,100.00 %
65,146, 99.39 %
66,556, 92.25 %
67,545, 93.48 %
68,223, 97.30 %
69,157, 98.98 %
70,244, 98.28 %
71,148, 98.77 %
72,293, 96.03 %
73,657, 81.92 %
74,2773, 50.34 %
75,767, 71.97 %
76,702, 80.14 %
77,872, 80.17 %
78,1271, 61.03 %
79,872, 80.17 %
80,752, 87.70 %
81,547, 90.70 %
82,404, 93.00 %
83,246, 94.08 %
84,411, 94.19 %
85,403, 94.70 %
86,373, 94.75 %
87,406, 94.77 %
88,462, 94.52 %
89,431, 94.33 %
90,1566, 54.95 %
91,1471, 59.88 %
92,1409, 62.95 %
93,1203, 68.84 %
94,1505, 55.70 %
95,966, 73.41 %
96,1385, 63.72 %
97,1458, 62.03 %
98,1349, 63.58 %
99,1342, 63.77 %
